User Rating Count,Price,Age Rating,Size,Original Release Date Month,Current Version Release Date Month,Original Release Date Year,Current Version Release Date Year,EN,ZH,DE,FR,ES,JA,RU,IT,KO,PT,Entertainment,Puzzle,Simulation,Action,Board,Role Playing,Casual,Card,Adventure,Family,Education,Sports,Trivia
-0.9993556958106049,-1.0,0.23076923076923084,-0.5534631761838442,-0.09090909090909094,0.09090909090909083,0.8181818181818181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-0.9999907673913495,-1.0,0.23076923076923084,-0.9419822362708992,-0.6363636363636364,-0.09090909090909094,-0.09090909090909094,0.6363636363636365,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-0.9999940647515818,-1.0,-1.0,-0.9748182392500957,-0.4545454545454546,-0.4545454545454546,-0.09090909090909094,0.2727272727272727,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-0.9999452638201435,-0.9715693978141295,-0.23076923076923073,-0.9860666116872148,-0.2727272727272727,0.09090909090909083,-0.4545454545454546,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-0.9999947242236283,-0.9429959282805914,0.23076923076923084,-0.9801767984182855,-0.2727272727272727,-0.09090909090909094,0.6363636363636365,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-0.9992640291961464,-0.9858561325808987,-0.23076923076923073,-0.8730301580735808,0.8181818181818181,-0.4545454545454546,-0.09090909090909094,0.09090909090909083,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-0.9999723021740485,-1.0,-0.23076923076923073,-0.9904521424110281,0.09090909090909083,0.09090909090909083,0.2727272727272727,0.2727272727272727,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-0.9999663669256303,-0.8572755196799772,0.23076923076923084,-0.8850398754154167,-0.2727272727272727,-1.0,0.2727272727272727,0.2727272727272727,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-0.9988063555959006,-0.9858561325808987,-0.23076923076923073,-0.9684866516375294,0.6363636363636365,-0.4545454545454546,-0.6363636363636364,0.8181818181818181,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-0.9999788968945131,-1.0,-1.0,-0.9948882931117164,0.8181818181818181,0.8181818181818181,0.2727272727272727,0.2727272727272727,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
